,What is your gender?,What is your current level of education?,With whom did you spend your lockdown days?,"Do you think the pandemic and the subsequent lockdown has altered your outlook on life? If yes, whether negatively or positively?",Has the lockdown had an impact on your physical health?,Rate your lockdown experiences on a scale of 1-5  based on the following feelings. ,How often did you do something productive?,Did you do anything for academic improvement?,How did you spend most of your time during the lockdown,Did you do anything for fun and recreation? ,"The average number of hours you spent on social media, in a day? ",How have your eating habits changed?,How has your body weight changed through the lockdown?,Did you experience a loss of appetite?,How often did you exercise?,What made up most of your diet?,To what do you most attribute your eating behavior?,Choose the word that best describes your lockdown experience.,How did you feel in regards to your studies or career?,How do/ did you feel most of the time?,Did you experience a tragic loss of something important?,How often did you indulge in the things you liked to do before?,How would you describe your sleep cycle?,Describe your relationship with your family and friends.,Have ever suffered from a mental illness? if yes what course of action was taken? if not choose NA 1,Have ever suffered from a mental illness? if yes  what course of action was taken? if not choose NA 2,"Please write a very short summary of your lockdown experience in terms of your physical, mental, and emotional health.",Editor's note: We hope you liked our questionnaire; Let us know how much.,,Output Level (1-5),Remarks (section wise rating: I+ II+ III+ IV+ V),
07/08/2020 19:30,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,3,Often,I,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Boredom,Chaotic,Motivated,"Happy, Agitated/ Irritable, Moody",Yes,Often,Oversleeping,Comforting and warm,NA,NA,It has been a tough time during this lockdown since even now the conditions are worst and we don't know when everything will get back to normal but yaa it has affected me different way. ,,,2.03=2,0.35+0.3+0.63+0.3+0.45,
07/08/2020 19:31,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,3,Often,No,"Gaming, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",Less than 1 hour,I under eat,I've lost weight,Somewhat,Somedays,Regular home cooked food,Boredom,Chaotic,Motivated,"Satisfied, Agitated/ Irritable, Moody",No,Often,Lack of sleep,Comforting and warm,NA,NA,"In the starting month of lockdown it felt good but at the end of it, it becomes more frustrating and headache.",,,2.6=3,0.45+0.35+0.57+0.5+0.73,
07/08/2020 19:31,Female,Class 10-12,At home with family,"Yes, i'm more pessimistic now",No,5,Sometimes,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",Less than 1 hour,I under eat,I've gained weight,Significantly,Regularly,Regular home cooked food,Hunger,Numb,Excited,Sad,No,Sometimes,Oversleeping,Fun and expressive,No,NA,I bore very much and iam happy because I spend time with family,,,2.58=3,0.45+0.4+00.45+0.66+0.62,
07/08/2020 19:33,Male,Class 10-12,At home with family,"Yes, i'm more pessimistic now",Yes,2,Rarely,No,"Studying /being academically inclined, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I under eat,I've lost weight,Somewhat,Somedays,Regular home cooked food,Hunger,Chaotic,Anxious,Agitated/ Irritable,Yes,Sometimes,Oversleeping,Comforting and warm,NA,NA,It was a difficult time which just passed by,,,3.47=4,0.4+0.76+0.57+0.37+1.37,
07/08/2020 19:35,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,1,Quite often,No,Gaming,No,More than 6 hours,I overeat,I've gained weight,Significantly,Never,Fried/ junk food,Emotional distress,Chaotic,Didn't think about it,Satisfied,Yes,Never,Oversleeping,Fun and expressive,NA,NA,Ive gone mad,,,3.9=4,0.25+0.9+0.78+1.23+0.64,
07/08/2020 19:36,Female,Under graduate,At home with family,No effect,Yes,1,Sometimes,Yes,Studying /being academically inclined,No,1-2 hours,I under eat,I've gained weight,Not much,Somedays,Regular home cooked food,Boredom,Chaotic,Directionless,Sad,Yes,Often,Lack of sleep,Toxic and Argumentative,No,No,This is really really boring . I miss my clg and my frds... I couldn't sleep peacefully.. ..I was surrounded by fully negative thoughts and memories i cant came out of ths..mentally depressed.,,,3.82=4,0.35+0.67+0.4+0.65+1.75,
07/08/2020 19:39,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",No,3,Quite often,Yes,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,I've gained weight,Not much,Somedays,Regular home cooked food,Boredom,Humbling,Anxious,"Happy, Satisfied, Agitated/ Irritable, Moody, Sad",Yes,Often,Normal,Fun and expressive,NA,NA,It's fun and irritating.,,,1.86=2,0.45+0.3+0.22+0.44+0.45,
07/08/2020 19:42,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,3,Sometimes,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT",No,Almost 6 hours,I overeat,I've gained weight,Not at all,Somedays,Regular home cooked food,Emotional distress,Numb,Anxious,Sad,No,Rarely,Disturbed,Toxic and Argumentative,No,Yes,"This lockdown has been one of the most difficult, depressing times I’ve ever had. Just hoping that everything thing gets better soon!",,,4.6=5,0.25+0.5+0.46+0.79+2.6,
07/08/2020 19:42,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,2,Rarely,Yes,Sleeping,No,3-4 hours,I overeat,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Numb,Didn't think about it,Sad,Yes,Often,Oversleeping,Comforting and warm,No,Yes,"Physical it was good, mentally it was quite tough.",,,3.39=3,0.25+0.45+0.89+0.45+1.35,
07/08/2020 19:43,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Sometimes,Yes,Netflix or Other OTT,"Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not at all,Somedays,Regular home cooked food,Hunger,Chaotic,Motivated,Happy,No,Often,Oversleeping,Comforting and warm,NA,NA,Lockdown was quite good helped me spend more time with family,,,1.71=2,0.35+0.3+0.36+0.25+0.45,
07/08/2020 19:45,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,4,Quite often,No,Netflix or Other OTT,"Yes, I pursued my hobbies",Almost 6 hours,I overeat,I've gained weight,Significantly,Somedays,Regular home cooked food,Hunger,Chaotic,Didn't think about it,Sad,Yes,Sometimes,Lack of sleep,Comforting and warm,No,No,I don’t like it:(((,,,3.21=3,0.4+0.3+0.60+0.55+1.36,
07/08/2020 19:47,Male,Class 10-12,At home with family,"Yes, i'm more pessimistic now",Yes,3,Often,Yes,Household chores,"Yes, I pursued my hobbies",Less than 1 hour,I under eat,I've lost weight,Somewhat,Somedays,Regular home cooked food,Hunger,Numb,Anxious,Agitated/ Irritable,Yes,Sometimes,Disturbed,Comforting and warm,NA,NA,"My physical,mental as well as emotional health is disturbed..I have lost of worries and distress going through my mind..",,,3.63=4,0.4+0.56+0.36+0.45+1.86,
07/08/2020 19:50,Male,Class 10-12,At home with family,No effect,Yes,4,Quite often,Yes,"Studying /being academically inclined, Gaming, Household chores","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Not much,Regularly,Regular home cooked food,Boredom,Pleasant,Directionless,"Happy, Agitated/ Irritable, Moody",No,Often,Disturbed,Comforting and warm,NA,NA,"I have gained some weight due to an overall decrease in physical activity, but as I workout daily, it hasn't been a big issue for me. I'm mentally and emotionally stable, due to being an introvert.",,,2.28=2,0.4+0.45+0.33+0.56+0.54,
07/08/2020 19:59,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Often,Yes,Household chores,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not at all,Regularly,Binge ate crisps and snacks,Boredom,Pleasant,Motivated,Moody,No,Often,Normal,Fun and expressive,NA,NA,It is a time when I experience life that I never thought. Waking up on same time doing exercise regularly help me to be fit as I have eaten too many tings. I started on my hobbies again to get relax ,,,1.84=2,0.35+0.25+0.47+0.37+0.4,
07/08/2020 19:59,Female,Under graduate,At home with family,No effect,Yes,2,Sometimes,No,"Studying /being academically inclined, Netflix or Other OTT, Sleeping",No,Almost 6 hours,I overeat,I've gained weight,Somewhat,Never,Regular home cooked food,Emotional distress,Chaotic,Directionless,Agitated/ Irritable,Yes,Rarely,Disturbed,Formal and unyielding,No,Yes,"Directionless, disturbed, irritated, feel the need to be productive all the time and end up doing nothing",,,4.72=5,0.35+0.54+0.88+0.99+1.96,
07/08/2020 20:02,Male,Class 10-12,At home with family,No effect,Yes,3,Rarely,Yes,Studying /being academically inclined,No,1-2 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Boredom,Pleasant,Directionless,Moody,No,Rarely,Normal,Fun and expressive,NA,NA,Its fine cause im an introvert idont find that much problem ,,,2.36=2,0.4+0.36+0.4+0.45+0.75,
07/08/2020 20:07,Male,Under graduate,At home with family,No effect,Maybe,4,Sometimes,Yes,"Studying /being academically inclined, Gaming, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Not much,Regularly,Regular home cooked food,Boredom,Pleasant,Anxious,"Happy, Satisfied",No,Sometimes,Normal,Comforting and warm,NA,NA,"We have no choice but to stay at home , the lockdown was good in the starting then frustrating but it's fine now😌",,,2.57=3,0.25+0.34+0.45+0.76+0.77,
07/08/2020 20:09,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,4,Often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not much,Regularly,Regular home cooked food,Hunger,Pleasant,Excited,Happy,Yes,Sometimes,Oversleeping,Fun and expressive,NA,NA,My lockdown experience is very smooth and satisfying. My physical health is also good. Lockdown has gave me many apportunities  to recover my old hobbies such as playing guitar and reading novels,,,1.58=2,0.4+0.3+0.43+0.11+0.34,
07/08/2020 20:10,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,2,Often,Yes,"Studying /being academically inclined, Sleeping","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Somewhat,Regularly,Regular home cooked food,Hunger,Numb,Anxious,Moody,Yes,Sometimes,Normal,Comforting and warm,NA,NA,Mixed days kf lockdown.,,,2.62=3,0.45+0.39+0.44+0.36+0.98,
07/08/2020 20:21,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,3,Sometimes,Yes,Studying /being academically inclined,No,Less than 1 hour,I eat in regulation,I've lost weight,Somewhat,Regularly,Regular home cooked food,Emotional distress,Humbling,Motivated,Agitated/ Irritable,No,Rarely,Disturbed,Fun and expressive,NA,NA,Motivated,,,1.79=2,0.45+0.18+0.35+0.49+0.37,
07/08/2020 20:23,Female,Postgraduate,At hostel/flat with friends,"Yes, i'm more optimistic now",Yes,3,Rarely,No,Studying /being academically inclined,No,3-4 hours,I overeat,I've gained weight,Not at all,Somedays,Binge ate crisps and snacks,Hunger,Chaotic,Anxious,Moody,No,Rarely,Oversleeping,Formal and unyielding,NA,NA,"Poor physical, disturbed mental and emotional health",,,3.45=3,0.4+0.18+0.67+0.5+1.70,
07/08/2020 20:23,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,5,Quite often,Yes,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've lost weight,Somewhat,Somedays,Regular home cooked food,Boredom,Pleasant,Motivated,Moody,No,Sometimes,Normal,Comforting and warm,NA,Yes,All good ,,,2.12=2,0.4+0.11+0.25+0.45+0.91,
07/08/2020 20:24,Male,Under graduate,Alone,"Yes, i'm more pessimistic now",Maybe,3,Often,Yes,"Gaming, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I under eat,I've lost weight,Significantly,Somedays,Binge ate crisps and snacks,Hunger,Numb,Anxious,Agitated/ Irritable,Yes,Rarely,Disturbed,Comforting and warm,No,Yes,"Physically many things haven't changed, but for sure when it comes mentally and emotionally it feels numb. ",,,3.83=4,0.45+0.41+0.4+0.79+1.78,
07/08/2020 20:25,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,1,Often,Yes,"Studying /being academically inclined, Gaming, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Hunger,Pleasant,Motivated,Happy,Yes,Sometimes,Normal,Comforting and warm,NA,NA,good,,,1.87=2,0.4+0.37+0.35+0.45+0.3,
07/08/2020 20:28,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Often,No,Sleeping,No,1-2 hours,I under eat,I've gained weight,Not much,Never,Regular home cooked food,Hunger,Pleasant,Anxious,"Moody, Sad",Yes,Sometimes,Disturbed,Toxic and Argumentative,NA,Yes,Lockdown sucks my mind,,,3.63=4,0.4+0.11+0.67+0.61+1.84,
07/08/2020 20:30,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,3,Often,Yes,"Studying /being academically inclined, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",1-2 hours,I overeat,I've gained weight,Not much,Somedays,Regular home cooked food,Boredom,Humbling,Excited,Satisfied,No,Sometimes,Oversleeping,Comforting and warm,NA,NA,.,,,1.95=2,0.4+0.27+0.25+0.73+0.3,
07/08/2020 20:30,Female,Class 10-12,At home with family,"Yes, i'm more pessimistic now",Maybe,3,Rarely,No,Household chores,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've lost weight,Not at all,Never,Regular home cooked food,Boredom,Chaotic,Anxious,Moody,No,Sometimes,Normal,Comforting and warm,NA,NA,Overall not productive,,,3.11=3,0.45+0.37+0.55+0.78+0.96,
07/08/2020 20:33,Male,Postgraduate,At home with family,No effect,Yes,1,Quite often,Yes,Studying /being academically inclined,No,1-2 hours,I overeat,I've gained weight,Not at all,Somedays,Regular home cooked food,Boredom,Chaotic,Didn't think about it,Satisfied,Yes,Sometimes,Lack of sleep,Comforting and warm,NA,NA,-,,,2.73=3,0.35+0.55+0.4+0.76+0.67,
07/08/2020 20:33,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,4,Quite often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Motivated,Satisfied,No,Sometimes,Lack of sleep,Formal and unyielding,No,Yes,"It was normal, not very enthusiastic in terms of fun and all but was good in terms of studying , i grasped a lot this lockdown, it helped me get gocus to my work, emotionally strong nt overthinking.",,,1.98=2,0.35+0.25+0.35+0.45+0.58,
07/08/2020 20:35,Female,Under graduate,Alone,"Yes, i'm more pessimistic now",Maybe,1,Never,No,"Netflix or Other OTT, Sleeping",No,Less than 1 hour,I overeat,I've gained weight,Not at all,Never,Regular home cooked food,Boredom,Numb,Directionless,Moody,No,Never,Oversleeping,Comforting and warm,NA,NA,Frustrating ,,,3.85=4,0.5+0.5+0.98+0.89+0.98,
07/08/2020 20:37,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,3,Quite often,Yes,Studying /being academically inclined,No,Less than 1 hour,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Hunger,Pleasant,Motivated,Happy,No,Sometimes,Normal,Fun and expressive,NA,NA,My lockdown experience has been pleasant ...It went pretty smooth as i spent most of time with my family.. ,,,1.73=2,0.5+0.3+0.45+0.35+0.13,
07/08/2020 20:38,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,2,Sometimes,Yes,"Studying /being academically inclined, Household chores, Sleeping",No,3-4 hours,I under eat,Unchanged,Significantly,Never,Regular home cooked food,Boredom,Chaotic,Directionless,Agitated/ Irritable,No,Sometimes,Normal,Formal and unyielding,NA,NA,,,,2.88=3,0.4+0.35+0.55+0.67+0.91,
07/08/2020 20:38,Male,Under graduate,At home with family,No effect,Yes,3,Often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Boredom,Humbling,Anxious,Moody,Yes,Sometimes,Normal,Comforting and warm,Yes,No,..,,,2.84=3,0.35+0.28+0.38+0.45+1.38,
07/08/2020 20:39,Female,Under graduate,At home with family,No effect,Yes,3,Sometimes,Yes,Household chores,"Yes, I pursued my hobbies",3-4 hours,I under eat,I've lost weight,Not at all,Regularly,Regular home cooked food,Boredom,Humbling,Motivated,Happy,Yes,Sometimes,Normal,Comforting and warm,No,Yes,Happy ,,,2.34=2,0.4+0.28+0.55+0.55+0.56,
07/08/2020 20:41,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",No,4,Quite often,Yes,Household chores,No,Less than 1 hour,I overeat,I've gained weight,Not at all,Never,Regular home cooked food,Hunger,Humbling,Anxious,Satisfied,No,Sometimes,Disturbed,Fun and expressive,NA,NA,Its quite boring to be at home all the time ,,,2.54=2,0.35+0.2+0.55+0.76+0.68,
07/08/2020 20:41,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,1,Often,Yes,Studying /being academically inclined,No,Less than 1 hour,I under eat,I've lost weight,Significantly,Somedays,Regular home cooked food,Boredom,Numb,Directionless,Sad,Yes,Never,Disturbed,Formal and unyielding,Yes,No,"Lost weight.. mental condition always stay unstable don't Know what to do with life , what I am currently doing seems directionless , always feeling irritated disgusting ",,,4.98=5,0.4+0.55+0.48+0.88+2.67,
07/08/2020 20:41,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Sometimes,Yes,Netflix or Other OTT,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Somewhat,Somedays,Regular home cooked food,Hunger,Humbling,Motivated,Satisfied,No,Sometimes,Disturbed,Comforting and warm,NA,NA,Got to spend more time in extra curricular activities ,,,2.06=2,0.4+0.25+0.58+0.35+0.48,
07/08/2020 20:42,Male,Under graduate,At home with family,No effect,Yes,2,Rarely,No,Sleeping,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Not much,Regularly,Regular home cooked food,Hunger,Humbling,Directionless,Agitated/ Irritable,No,Sometimes,Oversleeping,Fun and expressive,NA,NA,Haven't done anything productive.. whatever i don't have any mood to go back to college I'm enjoying at my home ,,,2.68=3,0.35+0.45+0.67+0.45+0.76,
07/08/2020 20:47,Female,Class 10-12,At home with family,"Yes, i'm more pessimistic now",No,4,Often,Yes,Household chores,"Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Hunger,Humbling,Excited,"Happy, Moody",No,Sometimes,Normal,Fun and expressive,No,No,It's good but little boring at home ,,,2.56=3,0.5+0.35+0.45+0.67+0.59,
07/08/2020 20:47,Female,Class 10-12,At home with family,"Yes, i'm more pessimistic now",No,4,Often,Yes,Household chores,"Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Hunger,Humbling,Excited,"Happy, Moody",No,Sometimes,Normal,Fun and expressive,No,No,It's good but little boring at home ,,,2.56=3,0.5+0.35+0.45+0.67+0.59,
07/08/2020 20:47,Male,Class 10-12,At home with family,"Yes, i'm more pessimistic now",Yes,3,Sometimes,No,Studying /being academically inclined,No,More than 6 hours,I eat in regulation,I've lost weight,Not much,Somedays,Regular home cooked food,Boredom,Numb,Didn't think about it,Moody,Yes,Sometimes,Normal,Comforting and warm,Yes,No,it was not that good . ,,,3.74=4,0.35+0.38+0.8+0.55+0.66,
